,0,Handle,ID,CreatedAt,Location
3606,RT @jamil_n_jaffer: Great series you gotta take a look at with the awesome @jamiemfly + @MatthewFFerraro on the deep fakes trend + disinfor…,LBuitta,1354545986509692939,2021-01-27 21:45:04,
3607,@MeganStifel @ChicagoCyber Schitts creek is always a good call,LBuitta,1354527732542169093,2021-01-27 20:32:32,
3608,"RT @craignewmark: Working on details now, probably will announce next week, nerd permitting...",LBuitta,1354439786098995200,2021-01-27 14:43:03,
3609,RT @SlaughterAM: This is essential. But it's not just that without racial equity at home we cannot be effective abroad; why not start imagi…,LBuitta,1354077394399850496,2021-01-26 14:43:03,
3610,"RT @maria_chepurina: Thank you, @MishraSylvia, and Happy Birthday, @Youth4CTBT ! From six members to 1003 today, we are growing, getting am…",LBuitta,1353821207087489024,2021-01-25 21:45:03,
3611,"RT @WorldDenver: ANNOUNCING: @AmbGinaAW in conversation with @LBuitta at #WorldDenverIWD2021. The Amb. is a career diplomat, has overseen U…",LBuitta,1353715004898496520,2021-01-25 14:43:02,
3612,RT @tcwittes: Tomorrow! The latest ⁦@lc_wins⁩ webinar for aspiring USG appointees: Managing Diversity as a Political Appointee https://t.co…,LBuitta,1352272823813890055,2021-01-21 15:12:19,
3613,"I’m excited to join @AmbGinaAW, an expert, role model, and trailblazer, for this event, in addition to a remarkable… https://t.co/A0hDY06xFD",LBuitta,1332063301497466880,2020-11-26 20:46:54,
3614,"RT @sbidgood: I'm delighted to share my new piece, “Just GRIT and Bear it: A Cold War Approach to US-Russia Arms Control,” which has just b…",LBuitta,1330354824609738758,2020-11-22 03:38:01,
3615,"RT @LucinaDiMeco: Thrilled about @alondra's appointment, and it seems that finally the tide has changed for #BigTech! 
@SaskiaBrech @C_A_Cr…",LBuitta,1316823455371755524,2020-10-15 19:29:11,
3616,@LucinaDiMeco @alondra @SaskiaBrech @C_A_Crockett @jennpiscopo @ma_franks @SandraPepera @thakurdhanaraj @schemaly… https://t.co/ekc4Y0Nw8I,LBuitta,1303106645652918274,2020-09-07 23:03:29,
3617,It’s awesome to see such an intimate profile of one of my early role models and mentors. Suzanne gave me the affirm… https://t.co/5P123nVvUd,LBuitta,1287387637817409546,2020-07-26 14:01:46,
3618,"We are in a defending against disinfo weeklong sprint, having some fun, but also fielding really awesome questions… https://t.co/7hvipDVGF0",LBuitta,1282861308401115137,2020-07-14 02:15:44,
